Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0402_1005Metric",61.300000,-64.120000,90.000000,top
"C5","10uF","C_0603_1608Metric",59.900000,-63.620000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",61.300000,-66.300000,90.000000,top
"C7","10uF","C_0603_1608Metric",64.000000,-94.650000,180.000000,top
"C8","10uF","C_0603_1608Metric",60.800000,-94.650000,180.000000,top
"D1","MBR120LSFT3G","D_SOD-123",64.800000,-99.400000,-90.000000,top
"D2","MBR120LSFT3G","D_SOD-123",85.500000,-103.500000,0.000000,top
"IC1","ESP32-C6-WROOM-1-N8","ESP32C6WROOM1N8",72.500000,-68.500000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",72.500000,-109.000000,0.000000,top
"J2","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",93.000000,-64.000000,0.000000,top
"J5","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",78.400000,-99.260000,180.000000,top
"J6","Conn_01x16","PinHeader_1x16_P2.54mm_Vertical",52.000000,-64.000000,0.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",74.350000,-87.350000,0.000000,top
"R2","5.1k","R_0402_1005Metric",70.800000,-102.800000,90.000000,top
"R3","5.1k","R_0402_1005Metric",74.200000,-102.800000,90.000000,top
"R4","100k","R_0402_1005Metric",79.000000,-103.000000,0.000000,top
"R5","100k","R_0402_1005Metric",59.900000,-66.400000,-90.000000,top
"R7","100k","R_0402_1005Metric",62.110000,-83.800000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",82.500000,-109.000000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KMR2",62.500000,-109.000000,180.000000,top
"U1","USBLC6-2P6","SOT-666",69.700000,-97.500000,-90.000000,top
"U2","TLV1117-33","SOT-223-3_TabPin2",62.700000,-89.050000,90.000000,top
